Date(YYYY-MM-DD hh:mm:ss),Username,Country Code,Tweet Id,Original Tweet,Cleaned Tweet,Tweet URL,Sentiment Score(-1 <= x <= 1)
2020-10-07 07:59:37,MarketScientist,None,1313750816554020864,Nowadays Trump tweets are more volatile than matkets🤐,Nowadays Trump tweets are more volatile than matkets,https://twitter.com/MarketScientist/status/1313750816554020864,0.5
2020-10-07 07:59:37,K__TequilaShots,gr,1313750815677591552,"My take: Trump probably never had Covid19. Test was false positive as well as the false negatives with rapid testing. 

When you have covid19 or flu like symptoms. You don’t have photo ops and joyrides. Even with meds. You feel more like shit &amp; antisocial https://t.co/yAlp0tKi6I",My take Trump probably never had Covid19 Test was false positive as well as the false negatives with rapid testing When you have covid19 or flu like symptoms You don t have photo ops and joyrides Even with meds You feel more like shit amp antisocial,https://twitter.com/K__TequilaShots/status/1313750815677591552,-0.054545454545454584
2020-10-07 07:59:37,climatemegan,gb,1313750817879412736,Obama only got going on climate in his second term and didn't achieve everything he wanted. Nor did Trump bring back coal.,Obama only got going on climate in his second term and didn t achieve everything he wanted Nor did Trump bring back coal,https://twitter.com/climatemegan/status/1313750817879412736,0.0
2020-10-07 07:59:38,pgprst,None,1313750818508738566,@GarciaTP2 @WordsDawn @PlumptyTrumpty Yup.... attempting same tactic as Trump!,Yup attempting same tactic as Trump,https://twitter.com/pgprst/status/1313750818508738566,0.0
2020-10-07 07:59:38,kmacbean123,gb,1313750819175567360,My birthday is 17th October. I’m literally wetting myself in hope Trump delivers me the BEST birthday present ever. #ArrestThemAllNow 💥🥳🔥,My birthday is 17th October I m literally wetting myself in hope Trump delivers me the BEST birthday present ever ArrestThemAllNow,https://twitter.com/kmacbean123/status/1313750819175567360,0.5
2020-10-07 07:59:38,rls4605,us,1313750819439808513,"2 passes for a Trump voter:
   1. A chimpanzee often beats you at tic-tac-toe.
    2.",2 passes for a Trump voter 1 A chimpanzee often beats you at tic tac toe 2,https://twitter.com/rls4605/status/1313750819439808513,0.0
2020-10-07 07:59:38,Democratsandli1,None,1313750821943771136,"@realDonaldTrump @MarkMeadows @senatemajldr @kevinomccarthy @SpeakerPelosi @SenSchumer Here's my message to America! ENOUGH WITH THE HATE SPEECH! ALL YOU ATHEISTS NEED TO TURN YOUR HATE SPEECH OFF AND REPENT TO THE GOD ALMIGHTY JESUS! IF AMERICA DOESN'T REPENT, FIRE WILL COME UPON THE NATION! STOP FOCUSING ON TRUMP AND REPENT TO JESUS! HELL AWAITS FOR THE UNSAVED!",Here s my message to America ENOUGH WITH THE HATE SPEECH ALL YOU ATHEISTS NEED TO TURN YOUR HATE SPEECH OFF AND REPENT TO THE GOD ALMIGHTY JESUS IF AMERICA DOESN T REPENT FIRE WILL COME UPON THE NATION STOP FOCUSING ON TRUMP AND REPENT TO JESUS HELL AWAITS FOR THE UNSAVED,https://twitter.com/Democratsandli1/status/1313750821943771136,-0.5333333333333333
2020-10-07 07:59:38,Maggypye1,None,1313750822044536833,@truss1 @NikkiStix55 “Donald trump you know is killing thousands of Americans“,Donald trump you know is killing thousands of Americans,https://twitter.com/Maggypye1/status/1313750822044536833,0.0
2020-10-07 07:59:39,YeeNAssociates,us,1313750822946246657,@realDonaldTrump @FoxNews @OANN @WashTimes @bostonherald @SenMcSallyAZ @LindseyGrahamSC @senatemajldr All Republicans had to do was put country over party. They chose a dictator wannabe instead. #COVID19 #VoteBlueToEndThisNightmare,All Republicans had to do was put country over party They chose a dictator wannabe instead COVID19 VoteBlueToEndThisNightmare,https://twitter.com/YeeNAssociates/status/1313750822946246657,0.0
2020-10-07 07:59:39,moomoobloom,us,1313750823692840960,@yongcheekies mamamoo is gonna help get trump out of office,mamamoo is gonna help get trump out of office,https://twitter.com/moomoobloom/status/1313750823692840960,0.0
2020-10-07 07:59:39,Kennnethnoel,us,1313750826205282305,@AngelaBelcamino @realDonaldTrump Except you’re not looking at who@the real problem is...Pelosi. She is asking for ridiculous things know a Trump will day no so she can try to make him look bad.try looking at the ridiculousness she’s asking for...,Except you re not looking at who real problem is Pelosi She is asking for ridiculous things know a Trump will day no so she can try to make him look bad try looking at the ridiculousness she s asking for,https://twitter.com/Kennnethnoel/status/1313750826205282305,-0.2777777777777777
2020-10-07 07:59:40,breezy63,us,1313750827668914176,@BillDaniel5 @kurtbardella @JoeBiden Said nobody with a brain ever about Trump and his rambling bullsshit.,Said nobody with a brain ever about Trump and his rambling bullsshit,https://twitter.com/breezy63/status/1313750827668914176,0.0
2020-10-07 07:59:40,sugarised,gb,1313750827761389568,@girlsmudda @AllisonLHedges also i don't get how you don't see the irony in your sentence as trump is a confused perverted old man and he's ''lead'' them the last 4 years,also i don t get how you don t see the irony in your sentence as trump is a confused perverted old man and he s lead them the last 4 years,https://twitter.com/sugarised/status/1313750827761389568,-0.10000000000000002
2020-10-07 07:59:40,pdupieter,za,1313750827845246976,@MaxduPreez How do you even begin to compare Trump witg Ace?,How do you even begin to compare Trump witg Ace,https://twitter.com/pdupieter/status/1313750827845246976,0.0
2020-10-07 07:59:40,lovineleven,us,1313750828268675075,"The margin keeps getting bigger!

Blue wave guys!",The margin keeps getting bigger Blue wave guys,https://twitter.com/lovineleven/status/1313750828268675075,0.0
2020-10-07 07:59:40,entrydenied_,None,1313750829065625600,@SharilynBerry @jessetyler Trump was never in the hospital. He got forced to time travel to infect the people at Rose Garden. The steroids made him forget /s,Trump was never in the hospital He got forced to time travel to infect the people at Rose Garden The steroids made him forget s,https://twitter.com/entrydenied_/status/1313750829065625600,0.14999999999999994
